NAME,pop,Influenza peri.,Shoulder peri.,cases,E0,income
Aitkin,"3,113",41,12,53,59.797617,20242
Anoka,"13,201",153,77,230,253.578009,29948
Becker,"4,499",62,23,85,86.421291,22889
Beltrami,"4,623",44,29,73,88.803207,21921
Benton,"2,519",27,12,39,48.387471,24455
Big Stone,"1,314",22,7,29,25.240626,23590
Blue Earth,"7,215",67,34,101,138.592935,28047
Brown,"4,765",80,25,105,91.530885,26852
Carlton,"4,688",57,29,86,90.051792,23125
Carver,"3,743",53,31,84,71.899287,35496
Cass,"4,557",46,14,60,87.535413,21696
Chippewa,"2,329",46,17,63,44.737761,26714
Chisago,"3,869",40,35,75,74.319621,28260
Clay,"6,020",70,26,96,115.63818,23020
Clearwater,"1,328",15,9,24,25.509552,20161
Cook,796,17,8,25,15.290364,26236
Cottonwood,"2,517",32,14,46,48.349053,24931
Crow Wing,"9,449",132,58,190,181.505841,23505
Dakota,"16,210",161,97,258,311.37789,35321
Dodge,"2,010",34,13,47,38.61009,26128
Douglas,"5,797",76,41,117,111.354573,24992
Faribault,"3,457",37,19,56,66.405513,24685
Fillmore,"4,065",67,27,94,78.084585,23133
Freeborn,"5,693",53,29,82,109.356837,23615
Goodhue,"6,121",97,59,156,117.578289,28393
Grant,"1,400",31,17,48,26.8926,24647
Hennepin,"76,089",927,494,1421,1461.593601,43310
Houston,"3,044",33,8,41,58.472196,25576
Hubbard,"3,117",41,20,61,59.874453,20558
Isanti,"2,678",48,36,84,51.441702,24870
Itasca,"7,209",72,38,110,138.477681,22028
Jackson,"1,906",42,21,63,36.612354,23656
Kanabec,"1,763",26,18,44,33.865467,19619
Kandiyohi,"5,825",75,39,114,111.892425,27046
Kittson,"1,048",11,5,16,20.131032,27345
Koochiching,"2,556",77,34,111,49.098204,24453
Lac Qui Parle,"1,671",31,16,47,32.098239,23811
Lake,"1,386",8,5,13,26.623674,22976
Lake of the Woods,740,9,5,14,14.21466,22338
Le Sueur,"3,837",49,20,69,73.704933,27054
Lincoln,"1,413",48,15,63,27.142317,21846
Lyon,"3,701",87,29,116,71.092509,27657
McLeod,"4,416",52,23,75,84.826944,26947
Mahnomen,825,19,13,32,15.847425,20109
Marshall,"1,864",22,9,31,35.805576,25475
Martin,"4,106",45,27,72,78.872154,27369
Meeker,"3,065",37,14,51,58.875585,22855
Mille Lacs,"3,590",41,21,62,68.96031,21199
Morrison,"4,378",84,24,108,84.097002,19919
Mower,"7,255",87,47,134,139.361295,25877
Murray,"1,779",48,22,70,34.172811,23844
Nicollet,"2,385",26,15,41,45.813465,27113
Nobles,"3,387",53,18,71,65.060883,23550
Norman,"1,457",21,8,29,27.987513,25646
Olmsted,"12,956",106,74,180,248.871804,33283
Otter Tail,"9,941",154,90,244,190.956669,22436
Pennington,"2,015",13,7,20,38.706135,27206
Pine,"3,559",46,23,69,68.364831,18852
Pipestone,"2,040",35,5,40,39.18636,24866
Polk,"5,015",75,32,107,96.333135,24441
Pope,"2,138",79,42,121,41.068842,23111
Ramsey,"42,670",463,258,721,819.64803,34601
Red Lake,740,9,6,15,14.21466,21084
Redwood,"3,120",35,20,55,59.93208,25207
Renville,"2,975",27,15,42,57.146775,24502
Rice,"5,902",78,47,125,113.371518,23671
Rock,"1,755",23,15,38,33.711795,25108
Roseau,"1,939",29,12,41,37.246251,24655
St. Louis,"29,504",337,166,503,566.742336,26768
Scott,"4,020",59,30,89,77.22018,32608
Sherburne,"3,716",41,18,59,71.380644,24269
Sibley,"2,080",29,17,46,39.95472,20456
Stearns,"14,977",172,83,255,287.693193,24146
Steele,"4,398",77,39,116,84.481182,27719
Stevens,"1,592",29,15,44,30.580728,26175
Swift,"2,175",41,33,74,41.779575,21185
Todd,"3,458",37,15,52,66.424722,18111
Traverse,"1,009",22,18,40,19.381881,24509
Wabasha,"3,385",37,20,57,65.022465,25190
Wadena,"2,655",56,25,81,50.999895,20692
Waseca,"2,668",24,5,29,51.249612,23140
Washington,"8,897",68,50,118,170.902473,35326
Watonwan,"2,132",31,20,51,40.953588,23075
Wilkin,"1,111",15,5,20,21.341199,24054
Winona,"5,906",63,42,105,113.448354,24598
Wright,"7,279",108,37,145,139.822311,26931
Yellow Medicine,"2,290",49,19,68,43.98861,23183
